"","workerid","predicate","noun","class","nounclass","slide_number","response","language"
"1",0,"big","chair","size","furniture",3,0.82,"English"
"2",0,"bad","couch","quality","furniture",4,0.93,"English"
"3",0,"short","carrot","size","food",5,0.9,"English"
"4",0,"long","TV","size","furniture",6,0.92,"English"
"5",0,"rotten","apple","age","food",7,0.68,"English"
"6",0,"green","fan","color","furniture",8,0.27,"English"
"7",0,"new","banana","age","food",9,0.58,"English"
"8",0,"huge","banana","size","food",10,0.75,"English"
"9",0,"smooth","tomato","texture","food",11,0.45,"English"
"10",0,"old","tomato","age","food",12,0.56,"English"
"11",0,"red","couch","color","furniture",13,0.16,"English"
"12",0,"plastic","banana","material","food",14,0.16,"English"
"13",0,"round","couch","shape","furniture",15,0.35,"English"
"14",0,"brown","fan","color","furniture",16,0.18,"English"
"15",0,"blue","chair","color","furniture",17,0.15,"English"
"16",0,"fresh","TV","age","furniture",18,0.44,"English"
"17",0,"yellow","tomato","color","food",19,0.13,"English"
"18",0,"good","tomato","quality","food",20,0.75,"English"
"19",0,"small","TV","size","furniture",21,0.61,"English"
"20",0,"purple","desk","color","furniture",22,0.17,"English"
"21",0,"metal","carrot","material","food",23,0.22,"English"
"22",0,"soft","chair","texture","furniture",24,0.79,"English"
"23",0,"tiny","carrot","size","food",25,0.84,"English"
"24",0,"hard","cheese","texture","food",26,0.75,"English"
"25",0,"wooden","TV","material","furniture",27,0.68,"English"
"26",0,"square","chair","shape","furniture",28,0.26,"English"
"27",1,"brown","tomato","color","food",3,0.15,"English"
"28",1,"wooden","banana","material","food",4,0.03,"English"
"29",1,"square","TV","shape","furniture",5,0.21,"English"
"30",1,"soft","fan","texture","furniture",6,0.54,"English"
"31",1,"old","chair","age","furniture",7,0.74,"English"
"32",1,"fresh","chair","age","furniture",8,0.82,"English"
"33",1,"big","TV","size","furniture",9,0.92,"English"
"34",1,"purple","carrot","color","food",10,0.05,"English"
"35",1,"yellow","desk","color","furniture",11,0.03,"English"
"36",1,"long","TV","size","furniture",12,0.84,"English"
"37",1,"huge","cheese","size","food",13,0.99,"English"
"38",1,"bad","apple","quality","food",14,0.9,"English"
"39",1,"good","TV","quality","furniture",15,0.94,"English"
"40",1,"new","couch","age","furniture",16,0.7,"English"
"41",1,"metal","carrot","material","food",17,0.01,"English"
"42",1,"smooth","cheese","texture","food",18,0.53,"English"
"43",1,"short","cheese","size","food",19,0.54,"English"
"44",1,"plastic","couch","material","furniture",20,0.03,"English"
"45",1,"hard","tomato","texture","food",21,0.3,"English"
"46",1,"tiny","apple","size","food",22,0.76,"English"
"47",1,"blue","tomato","color","food",23,0.05,"English"
"48",1,"green","carrot","color","food",24,0.05,"English"
"49",1,"red","cheese","color","food",25,0.06,"English"
"50",1,"small","couch","size","furniture",26,0.63,"English"
"51",1,"rotten","fan","age","furniture",27,0.8,"English"
"52",1,"round","desk","shape","furniture",28,0.11,"English"
"53",2,"fresh","carrot","age","food",3,0.13,"English"
"54",2,"red","chair","color","furniture",4,0.06,"English"
"55",2,"new","desk","age","furniture",5,0.26,"English"
"56",2,"purple","carrot","color","food",6,0,"English"
"57",2,"plastic","fan","material","furniture",7,0,"English"
"58",2,"smooth","TV","texture","furniture",8,0.65,"English"
"59",2,"blue","tomato","color","food",9,0,"English"
"60",2,"old","banana","age","food",10,0.75,"English"
"61",2,"metal","apple","material","food",11,0.15,"English"
"62",2,"bad","carrot","quality","food",12,0.89,"English"
"63",2,"good","couch","quality","furniture",13,1,"English"
"64",2,"huge","chair","size","furniture",14,0.51,"English"
"65",2,"round","fan","shape","furniture",15,0.04,"English"
"66",2,"tiny","tomato","size","food",16,0.34,"English"
"67",2,"hard","apple","texture","food",17,0.59,"English"
"68",2,"long","chair","size","furniture",18,0.67,"English"
"69",2,"short","desk","size","furniture",19,0.71,"English"
"70",2,"yellow","banana","color","food",20,0,"English"
"71",2,"soft","couch","texture","furniture",21,0.91,"English"
"72",2,"big","apple","size","food",22,0.5,"English"
"73",2,"square","fan","shape","furniture",23,0.13,"English"
"74",2,"wooden","desk","material","furniture",24,0.05,"English"
"75",2,"brown","couch","color","furniture",25,0,"English"
"76",2,"green","cheese","color","food",26,0.08,"English"
"77",2,"rotten","banana","age","food",27,0.89,"English"
"78",2,"small","couch","size","furniture",28,0.88,"English"
"79",3,"wooden","fan","material","furniture",3,0.96,"English"
"80",3,"metal","couch","material","furniture",4,0.03,"English"
"81",3,"brown","desk","color","furniture",5,0.24,"English"
"82",3,"long","apple","size","food",6,0.74,"English"
"83",3,"tiny","tomato","size","food",7,0.79,"English"
"84",3,"red","TV","color","furniture",8,0.01,"English"
"85",3,"blue","desk","color","furniture",9,0.04,"English"
"86",3,"round","desk","shape","furniture",10,0.11,"English"
"87",3,"bad","couch","quality","furniture",11,0.96,"English"
"88",3,"small","banana","size","food",12,0.74,"English"
"89",3,"huge","chair","size","furniture",13,0.84,"English"
"90",3,"green","banana","color","food",14,0.01,"English"
"91",3,"plastic","banana","material","food",15,0,"English"
"92",3,"smooth","carrot","texture","food",16,0.66,"English"
"93",3,"purple","desk","color","furniture",17,0.02,"English"
"94",3,"square","apple","shape","food",18,0.05,"English"
"95",3,"good","banana","quality","food",19,0.94,"English"
"96",3,"new","tomato","age","food",20,0.21,"English"
"97",3,"hard","TV","texture","furniture",21,0.14,"English"
"98",3,"soft","banana","texture","food",22,0.66,"English"
"99",3,"rotten","carrot","age","food",23,0.3,"English"
"100",3,"fresh","tomato","age","food",24,0.64,"English"
"101",3,"yellow","carrot","color","food",25,0.05,"English"
"102",3,"short","chair","size","furniture",26,0.78,"English"
"103",3,"old","couch","age","furniture",27,0.77,"English"
"104",3,"big","chair","size","furniture",28,0.68,"English"
"105",4,"long","cheese","size","food",3,0.11,"english"
"106",4,"short","banana","size","food",4,0.04,"english"
"107",4,"new","desk","age","furniture",5,0.73,"english"
"108",4,"round","chair","shape","furniture",6,0.95,"english"
"109",4,"square","tomato","shape","food",7,0.05,"english"
"110",4,"wooden","cheese","material","food",8,0.03,"english"
"111",4,"bad","fan","quality","furniture",9,0.97,"english"
"112",4,"huge","tomato","size","food",10,0.2,"english"
"113",4,"tiny","apple","size","food",11,0.3,"english"
"114",4,"hard","fan","texture","furniture",12,0.93,"english"
"115",4,"red","banana","color","food",13,0,"english"
"116",4,"purple","fan","color","furniture",14,0.01,"english"
"117",4,"green","TV","color","furniture",15,0.02,"english"
"118",4,"old","apple","age","food",16,0.2,"english"
"119",4,"rotten","fan","age","furniture",17,0.37,"english"
"120",4,"yellow","TV","color","furniture",18,0.01,"english"
"121",4,"soft","cheese","texture","food",19,0.46,"english"
"122",4,"big","apple","size","food",20,0.67,"english"
"123",4,"smooth","tomato","texture","food",21,0.6,"english"
"124",4,"blue","apple","color","food",22,0.67,"english"
"125",4,"plastic","chair","material","furniture",23,0.45,"english"
"126",4,"good","chair","quality","furniture",24,0.96,"english"
"127",4,"fresh","apple","age","food",25,0.33,"english"
"128",4,"metal","tomato","material","food",26,0.08,"english"
"129",4,"small","chair","size","furniture",27,0.58,"english"
"130",4,"brown","fan","color","furniture",28,0.56,"english"
"131",5,"yellow","chair","color","furniture",3,0.81,"english"
"132",5,"tiny","desk","size","furniture",4,0.7,"english"
"133",5,"small","carrot","size","food",5,0.57,"english"
"134",5,"square","couch","shape","furniture",6,0.37,"english"
"135",5,"green","banana","color","food",7,0.86,"english"
"136",5,"red","chair","color","furniture",8,0.69,"english"
"137",5,"short","tomato","size","food",9,0,"english"
"138",5,"new","apple","age","food",10,0.06,"english"
"139",5,"plastic","cheese","material","food",11,0.62,"english"
"140",5,"good","tomato","quality","food",12,0.44,"english"
"141",5,"hard","fan","texture","furniture",13,0.05,"english"
"142",5,"round","TV","shape","furniture",14,0.06,"english"
"143",5,"huge","TV","size","furniture",15,0.59,"english"
"144",5,"metal","tomato","material","food",16,0.37,"english"
"145",5,"bad","carrot","quality","food",17,0.3,"english"
"146",5,"rotten","cheese","age","food",18,0.36,"english"
"147",5,"old","carrot","age","food",19,0.25,"english"
"148",5,"long","tomato","size","food",20,0.09,"english"
"149",5,"soft","fan","texture","furniture",21,0.11,"english"
"150",5,"fresh","chair","age","furniture",22,0.07,"english"
"151",5,"smooth","couch","texture","furniture",23,0.1,"english"
"152",5,"big","chair","size","furniture",24,0.79,"english"
"153",5,"wooden","couch","material","furniture",25,0.63,"english"
"154",5,"purple","carrot","color","food",26,0.18,"english"
"155",5,"blue","cheese","color","food",27,0.11,"english"
"156",5,"brown","couch","color","furniture",28,0.52,"english"
"157",6,"blue","TV","color","furniture",3,0.71,"english"
"158",6,"round","apple","shape","food",4,0.61,"english"
"159",6,"long","TV","size","furniture",5,0.77,"english"
"160",6,"wooden","chair","material","furniture",6,0.43,"english"
"161",6,"smooth","desk","texture","furniture",7,0.4,"english"
"162",6,"huge","desk","size","furniture",8,0.63,"english"
"163",6,"square","tomato","shape","food",9,0.56,"english"
"164",6,"red","fan","color","furniture",10,0.77,"english"
"165",6,"yellow","chair","color","furniture",11,0.51,"english"
"166",6,"rotten","apple","age","food",12,0.68,"english"
"167",6,"tiny","fan","size","furniture",13,0.46,"english"
"168",6,"good","apple","quality","food",14,0.63,"english"
"169",6,"brown","chair","color","furniture",15,0.5,"english"
"170",6,"short","TV","size","furniture",16,0.7,"english"
"171",6,"bad","tomato","quality","food",17,0.8,"english"
"172",6,"new","cheese","age","food",18,0.62,"english"
"173",6,"big","banana","size","food",19,0.4,"english"
"174",6,"plastic","carrot","material","food",20,0.66,"english"
"175",6,"small","couch","size","furniture",21,0.46,"english"
"176",6,"purple","tomato","color","food",22,0.64,"english"
"177",6,"green","banana","color","food",23,0.52,"english"
"178",6,"metal","carrot","material","food",24,0.62,"english"
"179",6,"fresh","banana","age","food",25,0.53,"english"
"180",6,"soft","chair","texture","furniture",26,0.67,"english"
"181",6,"hard","carrot","texture","food",27,0.65,"english"
"182",6,"old","carrot","age","food",28,0.61,"english"
"183",7,"square","chair","shape","furniture",3,0.05,"english"
"184",7,"short","cheese","size","food",4,0.23,"english"
"185",7,"small","TV","size","furniture",5,0.08,"english"
"186",7,"round","fan","shape","furniture",6,0,"english"
"187",7,"blue","couch","color","furniture",7,0,"english"
"188",7,"bad","banana","quality","food",8,0.76,"english"
"189",7,"tiny","couch","size","furniture",9,0.08,"english"
"190",7,"metal","tomato","material","food",10,0.48,"english"
"191",7,"purple","carrot","color","food",11,0.17,"english"
"192",7,"red","TV","color","furniture",12,0.22,"english"
"193",7,"rotten","carrot","age","food",13,0.69,"english"
"194",7,"good","carrot","quality","food",14,0.91,"english"
"195",7,"yellow","couch","color","furniture",15,0.1,"english"
"196",7,"brown","banana","color","food",16,0.44,"english"
"197",7,"hard","banana","texture","food",17,0.64,"english"
"198",7,"old","chair","age","furniture",18,0.57,"english"
"199",7,"new","desk","age","furniture",19,0.33,"english"
"200",7,"big","fan","size","furniture",20,0.03,"english"
"201",7,"fresh","carrot","age","food",21,0.3,"english"
"202",7,"green","banana","color","food",22,0.45,"english"
"203",7,"long","TV","size","furniture",23,0.18,"english"
"204",7,"huge","apple","size","food",24,0.32,"english"
"205",7,"soft","TV","texture","furniture",25,0.48,"english"
"206",7,"smooth","desk","texture","furniture",26,0.2,"english"
"207",7,"plastic","chair","material","furniture",27,0.08,"english"
"208",7,"wooden","tomato","material","food",28,0.45,"english"
"209",8,"rotten","tomato","age","food",3,0.76,"English"
"210",8,"blue","tomato","color","food",4,0.5,"English"
"211",8,"big","fan","size","furniture",5,0.43,"English"
"212",8,"smooth","carrot","texture","food",6,0.69,"English"
"213",8,"wooden","tomato","material","food",7,0.18,"English"
"214",8,"old","carrot","age","food",8,0.31,"English"
"215",8,"fresh","desk","age","furniture",9,0.85,"English"
"216",8,"plastic","apple","material","food",10,0.15,"English"
"217",8,"metal","tomato","material","food",11,0.12,"English"
"218",8,"short","tomato","size","food",12,0.73,"English"
"219",8,"hard","cheese","texture","food",13,0.2,"English"
"220",8,"tiny","apple","size","food",14,0.27,"English"
"221",8,"small","banana","size","food",15,0.32,"English"
"222",8,"square","banana","shape","food",16,0.8,"English"
"223",8,"round","TV","shape","furniture",17,0.69,"English"
"224",8,"brown","chair","color","furniture",18,0.27,"English"
"225",8,"soft","apple","texture","food",19,0.19,"English"
"226",8,"red","tomato","color","food",20,0.22,"English"
"227",8,"purple","cheese","color","food",21,0.74,"English"
"228",8,"bad","carrot","quality","food",22,0.22,"English"
"229",8,"green","TV","color","furniture",23,0.78,"English"
"230",8,"huge","couch","size","furniture",24,0.35,"English"
"231",8,"long","desk","size","furniture",25,0.39,"English"
"232",8,"good","banana","quality","food",26,0.2,"English"
"233",8,"yellow","TV","color","furniture",27,0.75,"English"
"234",8,"new","couch","age","furniture",28,0.12,"English"
"235",9,"brown","couch","color","furniture",3,0.78,"English"
"236",9,"plastic","banana","material","food",4,0.5,"English"
"237",9,"new","chair","age","furniture",5,0.2,"English"
"238",9,"metal","TV","material","furniture",6,0.76,"English"
"239",9,"old","tomato","age","food",7,0.16,"English"
"240",9,"long","carrot","size","food",8,0.36,"English"
"241",9,"tiny","TV","size","furniture",9,0.3,"English"
"242",9,"good","TV","quality","furniture",10,0.1,"English"
"243",9,"huge","couch","size","furniture",11,0.38,"English"
"244",9,"short","apple","size","food",12,0.51,"English"
"245",9,"red","TV","color","furniture",13,0.75,"English"
"246",9,"smooth","cheese","texture","food",14,0.27,"English"
"247",9,"square","cheese","shape","food",15,0.9,"English"
"248",9,"purple","carrot","color","food",16,0.52,"English"
"249",9,"big","apple","size","food",17,0.25,"English"
"250",9,"fresh","couch","age","furniture",18,0.04,"English"
"251",9,"hard","banana","texture","food",19,0.76,"English"
"252",9,"blue","desk","color","furniture",20,0.23,"English"
"253",9,"rotten","tomato","age","food",21,0.87,"English"
"254",9,"yellow","apple","color","food",22,0.54,"English"
"255",9,"small","banana","size","food",23,0.27,"English"
"256",9,"green","desk","color","furniture",24,0.86,"English"
"257",9,"bad","tomato","quality","food",25,0.15,"English"
"258",9,"soft","banana","texture","food",26,0.69,"English"
"259",9,"wooden","carrot","material","food",27,0.84,"English"
"260",9,"round","banana","shape","food",28,0.95,"English"
"261",10,"smooth","carrot","texture","food",3,0.35,"English"
"262",10,"old","fan","age","furniture",4,0.41,"English"
"263",10,"metal","apple","material","food",5,0.08,"English"
"264",10,"good","fan","quality","furniture",6,0.69,"English"
"265",10,"yellow","tomato","color","food",7,0.17,"English"
"266",10,"short","fan","size","furniture",8,0.68,"English"
"267",10,"plastic","desk","material","furniture",9,0.11,"English"
"268",10,"big","cheese","size","food",10,0.79,"English"
"269",10,"round","banana","shape","food",11,0.7,"English"
"270",10,"long","desk","size","furniture",12,0.68,"English"
"271",10,"soft","couch","texture","furniture",13,0.9,"English"
"272",10,"hard","carrot","texture","food",14,0.61,"English"
"273",10,"bad","carrot","quality","food",15,0.63,"English"
"274",10,"rotten","banana","age","food",16,0.34,"English"
"275",10,"blue","banana","color","food",17,0.09,"English"
"276",10,"fresh","couch","age","furniture",18,0.71,"English"
"277",10,"brown","carrot","color","food",19,0.22,"English"
"278",10,"green","fan","color","furniture",20,0.14,"English"
"279",10,"huge","banana","size","food",21,0.81,"English"
"280",10,"purple","fan","color","furniture",22,0.18,"English"
"281",10,"tiny","carrot","size","food",23,0.7,"English"
"282",10,"wooden","apple","material","food",24,0.08,"English"
"283",10,"red","fan","color","furniture",25,0.17,"English"
"284",10,"small","carrot","size","food",26,0.74,"English"
"285",10,"square","desk","shape","furniture",27,0.26,"English"
"286",10,"new","TV","age","furniture",28,0.41,"English"
"287",11,"soft","carrot","texture","food",3,0.75,"English"
"288",11,"new","carrot","age","food",4,0.73,"English"
"289",11,"yellow","desk","color","furniture",5,0.38,"English"
"290",11,"big","tomato","size","food",6,0.66,"English"
"291",11,"good","tomato","quality","food",7,0.83,"English"
"292",11,"fresh","apple","age","food",8,0.6,"English"
"293",11,"metal","carrot","material","food",9,0.05,"English"
"294",11,"square","chair","shape","furniture",10,0.18,"English"
"295",11,"tiny","chair","size","furniture",11,0.98,"English"
"296",11,"smooth","fan","texture","furniture",12,0.84,"English"
"297",11,"old","chair","age","furniture",13,0.88,"English"
"298",11,"round","tomato","shape","food",14,0.23,"English"
"299",11,"wooden","banana","material","food",15,0.2,"English"
"300",11,"small","carrot","size","food",16,0.92,"English"
"301",11,"red","TV","color","furniture",17,0.22,"English"
"302",11,"long","tomato","size","food",18,0.84,"English"
"303",11,"rotten","cheese","age","food",19,0.78,"English"
"304",11,"purple","couch","color","furniture",20,0.22,"English"
"305",11,"plastic","tomato","material","food",21,0.27,"English"
"306",11,"huge","TV","size","furniture",22,0.72,"English"
"307",11,"green","cheese","color","food",23,0.43,"English"
"308",11,"blue","TV","color","furniture",24,0.37,"English"
"309",11,"hard","couch","texture","furniture",25,0.83,"English"
"310",11,"bad","couch","quality","furniture",26,0.67,"English"
"311",11,"brown","cheese","color","food",27,0.28,"English"
"312",11,"short","apple","size","food",28,0.72,"English"
"313",12,"brown","cheese","color","food",3,0,"english"
"314",12,"good","desk","quality","furniture",4,0.99,"english"
"315",12,"metal","desk","material","furniture",5,0.02,"english"
"316",12,"short","carrot","size","food",6,0.2,"english"
"317",12,"blue","couch","color","furniture",7,0.02,"english"
"318",12,"plastic","apple","material","food",8,0.05,"english"
"319",12,"purple","cheese","color","food",9,0.02,"english"
"320",12,"soft","couch","texture","furniture",10,0.49,"english"
"321",12,"rotten","chair","age","furniture",11,0.44,"english"
"322",12,"wooden","desk","material","furniture",12,0,"english"
"323",12,"bad","banana","quality","food",13,0.61,"english"
"324",12,"green","fan","color","furniture",14,0,"english"
"325",12,"fresh","cheese","age","food",15,0.57,"english"
"326",12,"hard","couch","texture","furniture",16,0.57,"english"
"327",12,"huge","chair","size","furniture",17,0.49,"english"
"328",12,"square","couch","shape","furniture",18,0.04,"english"
"329",12,"long","apple","size","food",19,0.51,"english"
"330",12,"red","carrot","color","food",20,0.05,"english"
"331",12,"yellow","banana","color","food",21,0.04,"english"
"332",12,"small","carrot","size","food",22,0.5,"english"
"333",12,"round","couch","shape","furniture",23,0.03,"english"
"334",12,"new","tomato","age","food",24,0.73,"english"
"335",12,"smooth","apple","texture","food",25,0.66,"english"
"336",12,"tiny","cheese","size","food",26,0.46,"english"
"337",12,"big","banana","size","food",27,0.32,"english"
"338",12,"old","TV","age","furniture",28,0.74,"english"
"339",13,"bad","chair","quality","furniture",3,0.59,"english"
"340",13,"smooth","chair","texture","furniture",4,0.06,"english"
"341",13,"rotten","desk","age","furniture",5,0.64,"english"
"342",13,"wooden","tomato","material","food",6,0.07,"english"
"343",13,"square","tomato","shape","food",7,0.07,"english"
"344",13,"yellow","fan","color","furniture",8,0.07,"english"
"345",13,"new","chair","age","furniture",9,0.1,"english"
"346",13,"hard","apple","texture","food",10,0.13,"english"
"347",13,"tiny","fan","size","furniture",11,0.06,"english"
"348",13,"metal","tomato","material","food",12,0.08,"english"
"349",13,"brown","couch","color","furniture",13,0.05,"english"
"350",13,"good","carrot","quality","food",14,0.87,"english"
"351",13,"round","apple","shape","food",15,0.06,"english"
"352",13,"soft","desk","texture","furniture",16,0.13,"english"
"353",13,"red","couch","color","furniture",17,0.13,"english"
"354",13,"blue","couch","color","furniture",18,0.14,"english"
"355",13,"long","TV","size","furniture",19,0.06,"english"
"356",13,"purple","carrot","color","food",20,0.11,"english"
"357",13,"fresh","TV","age","furniture",21,0.74,"english"
"358",13,"huge","TV","size","furniture",22,0.2,"english"
"359",13,"small","chair","size","furniture",23,0.57,"english"
"360",13,"green","carrot","color","food",24,0.05,"english"
"361",13,"plastic","carrot","material","food",25,0.05,"english"
"362",13,"old","apple","age","food",26,0.53,"english"
"363",13,"short","carrot","size","food",27,0.59,"english"
"364",13,"big","carrot","size","food",28,0.53,"english"
"365",14,"yellow","cheese","color","food",3,0.42,"english"
"366",14,"rotten","TV","age","furniture",4,0.74,"english"
"367",14,"good","tomato","quality","food",5,0.92,"english"
"368",14,"tiny","TV","size","furniture",6,0.25,"english"
"369",14,"long","apple","size","food",7,0.16,"english"
"370",14,"new","apple","age","food",8,0.85,"english"
"371",14,"square","TV","shape","furniture",9,0.15,"english"
"372",14,"purple","chair","color","furniture",10,0.03,"english"
"373",14,"wooden","banana","material","food",11,0.09,"english"
"374",14,"smooth","apple","texture","food",12,0.68,"english"
"375",14,"round","desk","shape","furniture",13,0.34,"english"
"376",14,"brown","couch","color","furniture",14,0.07,"english"
"377",14,"metal","apple","material","food",15,0.03,"english"
"378",14,"short","cheese","size","food",16,0.74,"english"
"379",14,"blue","cheese","color","food",17,0.13,"english"
"380",14,"plastic","chair","material","furniture",18,0.17,"english"
"381",14,"bad","apple","quality","food",19,0.9,"english"
"382",14,"big","couch","size","furniture",20,0.67,"english"
"383",14,"green","desk","color","furniture",21,0.09,"english"
"384",14,"hard","banana","texture","food",22,0.39,"english"
"385",14,"huge","apple","size","food",23,0.59,"english"
"386",14,"fresh","carrot","age","food",24,0.91,"english"
"387",14,"small","banana","size","food",25,0.22,"english"
"388",14,"soft","cheese","texture","food",26,0.43,"english"
"389",14,"old","desk","age","furniture",27,0.62,"english"
"390",14,"red","TV","color","furniture",28,0.07,"english"
"391",15,"purple","couch","color","furniture",3,0,"English"
"392",15,"blue","TV","color","furniture",4,0.07,"English"
