"","workerid","predicate","noun","class","nounclass","slide_number","response","language"
"393",15,"small","banana","size","food",5,0.86,"English"
"394",15,"red","tomato","color","food",6,0.72,"English"
"395",15,"plastic","TV","material","furniture",7,0.05,"English"
"396",15,"huge","desk","size","furniture",8,0.95,"English"
"397",15,"hard","cheese","texture","food",9,0.65,"English"
"398",15,"fresh","apple","age","food",10,0.77,"English"
"399",15,"brown","banana","color","food",11,0.72,"English"
"400",15,"metal","banana","material","food",12,0.01,"English"
"401",15,"long","tomato","size","food",13,0.8,"English"
"402",15,"yellow","couch","color","furniture",14,0.61,"English"
"403",15,"new","fan","age","furniture",15,0.26,"English"
"404",15,"good","carrot","quality","food",16,0.77,"English"
"405",15,"big","banana","size","food",17,0.74,"English"
"406",15,"green","carrot","color","food",18,0.65,"English"
"407",15,"short","chair","size","furniture",19,0.72,"English"
"408",15,"bad","carrot","quality","food",20,0.67,"English"
"409",15,"soft","fan","texture","furniture",21,0.73,"English"
"410",15,"wooden","TV","material","furniture",22,0.03,"English"
"411",15,"old","fan","age","furniture",23,0.67,"English"
"412",15,"rotten","apple","age","food",24,0.54,"English"
"413",15,"round","couch","shape","furniture",25,0.32,"English"
"414",15,"tiny","banana","size","food",26,0.79,"English"
"415",15,"square","chair","shape","furniture",27,0.19,"English"
"416",15,"smooth","tomato","texture","food",28,0.64,"English"
"417",16,"short","desk","size","furniture",3,0.92,"English"
"418",16,"soft","tomato","texture","food",4,0.87,"English"
"419",16,"square","couch","shape","furniture",5,0.25,"English"
"420",16,"plastic","chair","material","furniture",6,0.16,"English"
"421",16,"rotten","TV","age","furniture",7,0.67,"English"
"422",16,"long","carrot","size","food",8,0.81,"English"
"423",16,"bad","couch","quality","furniture",9,0.85,"English"
"424",16,"fresh","apple","age","food",10,0.8,"English"
"425",16,"brown","desk","color","furniture",11,0.13,"English"
"426",16,"small","apple","size","food",12,0.84,"English"
"427",16,"yellow","carrot","color","food",13,0.13,"English"
"428",16,"wooden","TV","material","furniture",14,0.12,"English"
"429",16,"purple","carrot","color","food",15,0.15,"English"
"430",16,"metal","chair","material","furniture",16,0.18,"English"
"431",16,"blue","couch","color","furniture",17,0.11,"English"
"432",16,"smooth","tomato","texture","food",18,0.75,"English"
"433",16,"new","cheese","age","food",19,0.88,"English"
"434",16,"red","couch","color","furniture",20,0.17,"English"
"435",16,"round","fan","shape","furniture",21,0.18,"English"
"436",16,"huge","carrot","size","food",22,0.77,"English"
"437",16,"big","tomato","size","food",23,0.84,"English"
"438",16,"hard","fan","texture","furniture",24,0.18,"English"
"439",16,"green","couch","color","furniture",25,0.08,"English"
"440",16,"old","carrot","age","food",26,0.89,"English"
"441",16,"tiny","tomato","size","food",27,0.79,"English"
"442",16,"good","desk","quality","furniture",28,0.87,"English"
"443",17,"yellow","couch","color","furniture",3,0,"english"
"444",17,"huge","chair","size","furniture",4,1,"english"
"445",17,"square","tomato","shape","food",5,0,"english"
"446",17,"good","cheese","quality","food",6,1,"english"
"447",17,"small","chair","size","furniture",7,0.98,"english"
"448",17,"soft","fan","texture","furniture",8,0.99,"english"
"449",17,"blue","apple","color","food",9,0,"english"
"450",17,"smooth","chair","texture","furniture",10,1,"english"
"451",17,"fresh","fan","age","furniture",11,0.51,"english"
"452",17,"red","apple","color","food",12,0,"english"
"453",17,"bad","fan","quality","furniture",13,1,"english"
"454",17,"short","fan","size","furniture",14,0.48,"english"
"455",17,"plastic","TV","material","furniture",15,0.02,"english"
"456",17,"rotten","carrot","age","food",16,0,"english"
"457",17,"purple","cheese","color","food",17,0,"english"
"458",17,"long","apple","size","food",18,0.54,"english"
"459",17,"tiny","TV","size","furniture",19,1,"english"
"460",17,"round","fan","shape","furniture",20,0,"english"
"461",17,"new","banana","age","food",21,0.53,"english"
"462",17,"old","banana","age","food",22,0.52,"english"
"463",17,"hard","cheese","texture","food",23,0.49,"english"
"464",17,"wooden","chair","material","furniture",24,0,"english"
"465",17,"brown","TV","color","furniture",25,0,"english"
"466",17,"green","couch","color","furniture",26,0,"english"
"467",17,"big","banana","size","food",27,0.52,"english"
"468",17,"metal","TV","material","furniture",28,0,"english"
"469",18,"fresh","chair","age","furniture",3,0.43,"english"
"470",18,"round","carrot","shape","food",4,0.05,"english"
"471",18,"square","apple","shape","food",5,0.36,"english"
"472",18,"small","cheese","size","food",6,0.55,"english"
"473",18,"hard","fan","texture","furniture",7,0.65,"english"
"474",18,"big","fan","size","furniture",8,0.9,"english"
"475",18,"red","desk","color","furniture",9,0.02,"english"
"476",18,"new","cheese","age","food",10,0.33,"english"
"477",18,"rotten","tomato","age","food",11,0.17,"english"
"478",18,"metal","fan","material","furniture",12,0.02,"english"
"479",18,"tiny","desk","size","furniture",13,0.39,"english"
"480",18,"yellow","tomato","color","food",14,0.01,"english"
"481",18,"green","tomato","color","food",15,0.02,"english"
"482",18,"old","tomato","age","food",16,0.25,"english"
"483",18,"purple","banana","color","food",17,0,"english"
"484",18,"smooth","chair","texture","furniture",18,0.52,"english"
"485",18,"soft","chair","texture","furniture",19,0.72,"english"
"486",18,"wooden","fan","material","furniture",20,0.02,"english"
"487",18,"good","carrot","quality","food",21,0.97,"english"
"488",18,"long","chair","size","furniture",22,0.56,"english"
"489",18,"blue","apple","color","food",23,0.03,"english"
"490",18,"plastic","banana","material","food",24,0.05,"english"
"491",18,"short","banana","size","food",25,0.37,"english"
"492",18,"huge","fan","size","furniture",26,0.69,"english"
"493",18,"brown","apple","color","food",27,0.02,"english"
"494",18,"bad","chair","quality","furniture",28,0.97,"english"
"495",19,"red","tomato","color","food",3,0.05,"English"
"496",19,"tiny","apple","size","food",4,0.39,"English"
"497",19,"round","carrot","shape","food",5,0.67,"English"
"498",19,"rotten","cheese","age","food",6,0.14,"English"
"499",19,"good","banana","quality","food",7,0.33,"English"
"500",19,"new","fan","age","furniture",8,0.14,"English"
"501",19,"smooth","tomato","texture","food",9,0.21,"English"
"502",19,"brown","chair","color","furniture",10,0.05,"English"
"503",19,"plastic","apple","material","food",11,0.01,"English"
"504",19,"green","TV","color","furniture",12,0.28,"English"
"505",19,"short","TV","size","furniture",13,0.5,"English"
"506",19,"blue","TV","color","furniture",14,0.09,"English"
"507",19,"hard","TV","texture","furniture",15,0.61,"English"
"508",19,"fresh","desk","age","furniture",16,0.63,"English"
"509",19,"big","desk","size","furniture",17,0.29,"English"
"510",19,"small","apple","size","food",18,0.63,"English"
"511",19,"metal","TV","material","furniture",19,0.03,"English"
"512",19,"old","couch","age","furniture",20,0.39,"English"
"513",19,"huge","cheese","size","food",21,0.27,"English"
"514",19,"soft","chair","texture","furniture",22,0.7,"English"
"515",19,"yellow","tomato","color","food",23,0.17,"English"
"516",19,"bad","apple","quality","food",24,0.71,"English"
"517",19,"square","banana","shape","food",25,0.08,"English"
"518",19,"wooden","cheese","material","food",26,0.33,"English"
"519",19,"long","apple","size","food",27,0.68,"English"
"520",19,"purple","couch","color","furniture",28,0.13,"English"
"521",20,"round","carrot","shape","food",3,0.15,"English"
"522",20,"bad","desk","quality","furniture",4,0.71,"English"
"523",20,"long","fan","size","furniture",5,0.14,"English"
"524",20,"wooden","fan","material","furniture",6,0.08,"English"
"525",20,"rotten","desk","age","furniture",7,0.3,"English"
"526",20,"small","tomato","size","food",8,0.37,"English"
"527",20,"tiny","banana","size","food",9,0.34,"English"
"528",20,"purple","desk","color","furniture",10,0.09,"English"
"529",20,"smooth","cheese","texture","food",11,0.18,"English"
"530",20,"blue","banana","color","food",12,0.07,"English"
"531",20,"huge","apple","size","food",13,0.43,"English"
"532",20,"plastic","chair","material","furniture",14,0.11,"English"
"533",20,"square","cheese","shape","food",15,0.18,"English"
"534",20,"new","couch","age","furniture",16,0.15,"English"
"535",20,"fresh","desk","age","furniture",17,0.46,"English"
"536",20,"metal","fan","material","furniture",18,0.3,"English"
"537",20,"soft","apple","texture","food",19,0.33,"English"
"538",20,"hard","fan","texture","furniture",20,0.3,"English"
"539",20,"old","banana","age","food",21,0.41,"English"
"540",20,"yellow","TV","color","furniture",22,0.34,"English"
"541",20,"good","couch","quality","furniture",23,0.89,"English"
"542",20,"red","fan","color","furniture",24,0.08,"English"
"543",20,"big","desk","size","furniture",25,0.62,"English"
"544",20,"short","fan","size","furniture",26,0.36,"English"
"545",20,"green","banana","color","food",27,0.12,"English"
"546",20,"brown","banana","color","food",28,0.52,"English"
"547",21,"red","desk","color","furniture",3,0.02,"English"
"548",21,"long","TV","size","furniture",4,0.09,"English"
"549",21,"rotten","carrot","age","food",5,0.03,"English"
"550",21,"brown","apple","color","food",6,0.02,"English"
"551",21,"good","chair","quality","furniture",7,0.71,"English"
"552",21,"huge","desk","size","furniture",8,0.08,"English"
"553",21,"fresh","tomato","age","food",9,0.15,"English"
"554",21,"yellow","TV","color","furniture",10,0.03,"English"
"555",21,"round","chair","shape","furniture",11,0.03,"English"
"556",21,"short","fan","size","furniture",12,0.21,"English"
"557",21,"tiny","chair","size","furniture",13,0.11,"English"
"558",21,"purple","apple","color","food",14,0.03,"English"
"559",21,"metal","chair","material","furniture",15,0.03,"English"
"560",21,"square","apple","shape","food",16,0.03,"English"
"561",21,"hard","couch","texture","furniture",17,0.62,"English"
"562",21,"small","chair","size","furniture",18,0.25,"English"
"563",21,"smooth","banana","texture","food",19,0.01,"English"
"564",21,"plastic","fan","material","furniture",20,0.02,"English"
"565",21,"old","couch","age","furniture",21,0.55,"English"
"566",21,"soft","apple","texture","food",22,0.2,"English"
"567",21,"bad","banana","quality","food",23,0.25,"English"
"568",21,"big","chair","size","furniture",24,0.38,"English"
"569",21,"wooden","banana","material","food",25,0.02,"English"
"570",21,"blue","cheese","color","food",26,0.02,"English"
"571",21,"green","fan","color","furniture",27,0.04,"English"
"572",21,"new","couch","age","furniture",28,0.61,"English"
"573",22,"brown","chair","color","furniture",3,0.27,"English"
"574",22,"yellow","cheese","color","food",4,0.66,"English"
"575",22,"rotten","desk","age","furniture",5,0.85,"English"
"576",22,"fresh","banana","age","food",6,0.47,"English"
"577",22,"plastic","fan","material","furniture",7,0.23,"English"
"578",22,"green","carrot","color","food",8,0.49,"English"
"579",22,"huge","fan","size","furniture",9,0.76,"English"
"580",22,"big","TV","size","furniture",10,0.77,"English"
"581",22,"purple","apple","color","food",11,0.37,"English"
"582",22,"good","chair","quality","furniture",12,0.95,"English"
"583",22,"red","chair","color","furniture",13,0.24,"English"
"584",22,"bad","TV","quality","furniture",14,0.85,"English"
"585",22,"metal","apple","material","food",15,0.35,"English"
"586",22,"new","desk","age","furniture",16,0.76,"English"
"587",22,"small","cheese","size","food",17,0.76,"English"
"588",22,"wooden","tomato","material","food",18,0.39,"English"
"589",22,"blue","chair","color","furniture",19,0.28,"English"
"590",22,"tiny","carrot","size","food",20,0.68,"English"
"591",22,"round","TV","shape","furniture",21,0.42,"English"
"592",22,"old","TV","age","furniture",22,0.75,"English"
"593",22,"short","fan","size","furniture",23,0.68,"English"
"594",22,"long","fan","size","furniture",24,0.76,"English"
"595",22,"hard","chair","texture","furniture",25,0.71,"English"
"596",22,"square","fan","shape","furniture",26,0.35,"English"
"597",22,"smooth","apple","texture","food",27,0.69,"English"
"598",22,"soft","fan","texture","furniture",28,0.65,"English"
"599",23,"new","TV","age","furniture",3,0.23,"English"
"600",23,"red","banana","color","food",4,0.18,"English"
"601",23,"good","carrot","quality","food",5,0.84,"English"
"602",23,"green","desk","color","furniture",6,0.14,"English"
"603",23,"hard","fan","texture","furniture",7,0.18,"English"
"604",23,"short","apple","size","food",8,0.79,"English"
"605",23,"bad","carrot","quality","food",9,0.79,"English"
"606",23,"blue","tomato","color","food",10,0.19,"English"
"607",23,"fresh","tomato","age","food",11,0.83,"English"
"608",23,"big","couch","size","furniture",12,0.82,"English"
"609",23,"yellow","carrot","color","food",13,0.17,"English"
"610",23,"round","tomato","shape","food",14,0.18,"English"
"611",23,"square","banana","shape","food",15,0.31,"English"
"612",23,"brown","carrot","color","food",16,0.2,"English"
"613",23,"long","tomato","size","food",17,0.84,"English"
"614",23,"rotten","fan","age","furniture",18,0.35,"English"
"615",23,"metal","desk","material","furniture",19,0.1,"English"
"616",23,"smooth","banana","texture","food",20,0.8,"English"
"617",23,"soft","chair","texture","furniture",21,0.84,"English"
"618",23,"plastic","banana","material","food",22,0.23,"English"
"619",23,"tiny","TV","size","furniture",23,0.76,"English"
"620",23,"purple","banana","color","food",24,0.21,"English"
"621",23,"huge","banana","size","food",25,0.8,"English"
"622",23,"small","banana","size","food",26,0.77,"English"
"623",23,"old","cheese","age","food",27,0.79,"English"
"624",23,"wooden","fan","material","furniture",28,0.1,"English"
"625",24,"blue","chair","color","furniture",3,0.99,"English"
"626",24,"new","desk","age","furniture",4,0.11,"English"
"627",24,"hard","cheese","texture","food",5,0.36,"English"
"628",24,"good","TV","quality","furniture",6,0.94,"English"
"629",24,"wooden","chair","material","furniture",7,0,"English"
"630",24,"long","apple","size","food",8,0.64,"English"
"631",24,"plastic","couch","material","furniture",9,0.05,"English"
"632",24,"square","fan","shape","furniture",10,0,"English"
"633",24,"tiny","fan","size","furniture",11,0.95,"English"
"634",24,"yellow","desk","color","furniture",12,0.02,"English"
"635",24,"green","fan","color","furniture",13,0.01,"English"
"636",24,"big","apple","size","food",14,0.95,"English"
"637",24,"red","tomato","color","food",15,0.01,"English"
"638",24,"fresh","tomato","age","food",16,0.87,"English"
"639",24,"metal","desk","material","furniture",17,0.02,"English"
"640",24,"brown","tomato","color","food",18,0.16,"English"
"641",24,"smooth","cheese","texture","food",19,0.23,"English"
"642",24,"soft","TV","texture","furniture",20,0.71,"English"
"643",24,"purple","fan","color","furniture",21,0.01,"English"
"644",24,"small","fan","size","furniture",22,0.98,"English"
"645",24,"old","chair","age","furniture",23,0.97,"English"
"646",24,"short","apple","size","food",24,0.92,"English"
"647",24,"huge","apple","size","food",25,0.97,"English"
"648",24,"round","desk","shape","furniture",26,0.05,"English"
"649",24,"bad","tomato","quality","food",27,1,"English"
"650",24,"rotten","banana","age","food",28,0.54,"English"
"651",25,"long","fan","size","furniture",3,0.51,"English"
"652",25,"red","banana","color","food",4,0.02,"English"
"653",25,"bad","fan","quality","furniture",5,0.76,"English"
"654",25,"big","carrot","size","food",6,0.49,"English"
"655",25,"fresh","couch","age","furniture",7,0.49,"English"
"656",25,"old","apple","age","food",8,0.48,"English"
"657",25,"blue","tomato","color","food",9,0.14,"English"
"658",25,"hard","carrot","texture","food",10,0.38,"English"
"659",25,"brown","banana","color","food",11,0.12,"English"
"660",25,"rotten","banana","age","food",12,0.35,"English"
"661",25,"round","desk","shape","furniture",13,0.13,"English"
"662",25,"yellow","couch","color","furniture",14,0.11,"English"
"663",25,"short","couch","size","furniture",15,0.2,"English"
"664",25,"tiny","apple","size","food",16,0.36,"English"
"665",25,"smooth","fan","texture","furniture",17,0.56,"English"
"666",25,"soft","TV","texture","furniture",18,0.6,"English"
"667",25,"green","apple","color","food",19,0.06,"English"
"668",25,"purple","chair","color","furniture",20,0.1,"English"
"669",25,"plastic","apple","material","food",21,0.11,"English"
"670",25,"metal","couch","material","furniture",22,0.1,"English"
"671",25,"new","banana","age","food",23,0.57,"English"
"672",25,"square","apple","shape","food",24,0.05,"English"
"673",25,"wooden","carrot","material","food",25,0.17,"English"
"674",25,"small","tomato","size","food",26,0.55,"English"
"675",25,"huge","TV","size","furniture",27,0.66,"English"
"676",25,"good","chair","quality","furniture",28,0.69,"English"
"677",26,"big","couch","size","furniture",3,0.72,"English"
"678",26,"short","fan","size","furniture",4,0.82,"English"
"679",26,"blue","TV","color","furniture",5,0.13,"English"
"680",26,"old","cheese","age","food",6,0.52,"English"
"681",26,"smooth","cheese","texture","food",7,0.46,"English"
"682",26,"tiny","fan","size","furniture",8,0.84,"English"
"683",26,"long","apple","size","food",9,0.73,"English"
"684",26,"bad","TV","quality","furniture",10,0.99,"English"
"685",26,"plastic","banana","material","food",11,0.04,"English"
"686",26,"soft","tomato","texture","food",12,0.42,"English"
"687",26,"fresh","couch","age","furniture",13,0.62,"English"
"688",26,"huge","apple","size","food",14,0.51,"English"
"689",26,"brown","fan","color","furniture",15,0.06,"English"
"690",26,"good","cheese","quality","food",16,0.97,"English"
"691",26,"round","tomato","shape","food",17,0.01,"English"
"692",26,"new","carrot","age","food",18,0.38,"English"
"693",26,"red","apple","color","food",19,0.04,"English"
"694",26,"green","fan","color","furniture",20,0.05,"English"
"695",26,"wooden","couch","material","furniture",21,0.06,"English"
"696",26,"hard","cheese","texture","food",22,0.26,"English"
"697",26,"rotten","couch","age","furniture",23,0.88,"English"
"698",26,"yellow","desk","color","furniture",24,0.01,"English"
"699",26,"purple","desk","color","furniture",25,0,"English"
"700",26,"small","chair","size","furniture",26,0.35,"English"
"701",26,"metal","TV","material","furniture",27,0.04,"English"
"702",26,"square","fan","shape","furniture",28,0.03,"English"
"703",27,"wooden","tomato","material","food",3,0.5,"english"
"704",27,"big","banana","size","food",4,0.27,"english"
"705",27,"blue","chair","color","furniture",5,0.14,"english"
"706",27,"smooth","chair","texture","furniture",6,0.17,"english"
"707",27,"new","TV","age","furniture",7,0.17,"english"
"708",27,"hard","apple","texture","food",8,0.2,"english"
"709",27,"old","chair","age","furniture",9,0.52,"english"
"710",27,"long","apple","size","food",10,0.81,"english"
"711",27,"metal","apple","material","food",11,0.1,"english"
"712",27,"brown","fan","color","furniture",12,0.11,"english"
"713",27,"bad","banana","quality","food",13,0.51,"english"
"714",27,"good","fan","quality","furniture",14,0.5,"english"
"715",27,"round","tomato","shape","food",15,0.28,"english"
"716",27,"red","TV","color","furniture",16,0.13,"english"
"717",27,"fresh","chair","age","furniture",17,0.57,"english"
"718",27,"short","desk","size","furniture",18,0.49,"english"
"719",27,"soft","banana","texture","food",19,0.42,"english"
"720",27,"green","cheese","color","food",20,0.3,"english"
"721",27,"huge","fan","size","furniture",21,0.73,"english"
"722",27,"tiny","TV","size","furniture",22,0.49,"english"
"723",27,"square","fan","shape","furniture",23,0.15,"english"
"724",27,"small","desk","size","furniture",24,0.26,"english"
"725",27,"yellow","carrot","color","food",25,0.28,"english"
"726",27,"plastic","tomato","material","food",26,0.12,"english"
"727",27,"rotten","couch","age","furniture",27,0.49,"english"
"728",27,"purple","carrot","color","food",28,0.17,"english"
"729",28,"fresh","tomato","age","food",3,0.69,"English"
"730",28,"metal","couch","material","furniture",4,0,"English"
"731",28,"old","chair","age","furniture",5,0.86,"English"
"732",28,"rotten","couch","age","furniture",6,0.58,"English"
"733",28,"bad","tomato","quality","food",7,0.52,"English"
"734",28,"plastic","couch","material","furniture",8,0,"English"
"735",28,"round","TV","shape","furniture",9,0,"English"
"736",28,"red","chair","color","furniture",10,0.11,"English"
"737",28,"hard","fan","texture","furniture",11,0.79,"English"
"738",28,"good","cheese","quality","food",12,0.9,"English"
"739",28,"huge","TV","size","furniture",13,0.82,"English"
"740",28,"small","couch","size","furniture",14,0.82,"English"
"741",28,"wooden","desk","material","furniture",15,0,"English"
"742",28,"green","carrot","color","food",16,0.22,"English"
"743",28,"big","carrot","size","food",17,0.88,"English"
"744",28,"long","desk","size","furniture",18,0.81,"English"
"745",28,"blue","cheese","color","food",19,0,"English"
"746",28,"purple","desk","color","furniture",20,0.17,"English"
"747",28,"tiny","apple","size","food",21,0.87,"English"
"748",28,"short","chair","size","furniture",22,0.82,"English"
"749",28,"square","cheese","shape","food",23,0.11,"English"
"750",28,"yellow","fan","color","furniture",24,0.14,"English"
"751",28,"new","desk","age","furniture",25,0.71,"English"
"752",28,"smooth","tomato","texture","food",26,0.88,"English"
"753",28,"soft","fan","texture","furniture",27,0.55,"English"
"754",28,"brown","banana","color","food",28,0.29,"English"
"755",29,"green","tomato","color","food",3,0,"English"
"756",29,"huge","fan","size","furniture",4,1,"English"
"757",29,"red","carrot","color","food",5,0,"English"
"758",29,"short","carrot","size","food",6,0.69,"English"
"759",29,"square","tomato","shape","food",7,0.51,"English"
"760",29,"tiny","TV","size","furniture",8,0.79,"English"
"761",29,"blue","banana","color","food",9,0,"English"
"762",29,"brown","chair","color","furniture",10,0,"English"
"763",29,"small","desk","size","furniture",11,0.73,"English"
"764",29,"hard","banana","texture","food",12,0.74,"English"
"765",29,"smooth","couch","texture","furniture",13,1,"English"
"766",29,"fresh","cheese","age","food",14,1,"English"
"767",29,"big","couch","size","furniture",15,1,"English"
"768",29,"wooden","cheese","material","food",16,0,"English"
"769",29,"new","fan","age","furniture",17,1,"English"
"770",29,"long","cheese","size","food",18,1,"English"
"771",29,"purple","tomato","color","food",19,0,"English"
"772",29,"soft","banana","texture","food",20,0.51,"English"
"773",29,"old","tomato","age","food",21,0.84,"English"
"774",29,"round","cheese","shape","food",22,0.53,"English"
"775",29,"metal","tomato","material","food",23,0,"English"
"776",29,"bad","cheese","quality","food",24,1,"English"
"777",29,"good","carrot","quality","food",25,1,"English"
"778",29,"yellow","couch","color","furniture",26,0,"English"
"779",29,"plastic","tomato","material","food",27,0.36,"English"
"780",29,"rotten","desk","age","furniture",28,1,"English"
